Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Masculino,44,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,62,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Cadastro Único
Feminino,12,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Psicólogo
Feminino,25,Médio Completo,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Masculino,40,Superior Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,40,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Masculino,35,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Assistente Social 
Feminino,27,Médio Completo,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Psicólogo
Feminino,59,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,PAIF,Cadastro Único
Feminino,41,Médio Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,20,Médio Incompleto,Vale da Revolta ,1,CRAS Meudon,CRAS Meudon,Público geral,Assistente Social 
Feminino,52,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,28,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,60,Fundamental Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,55,Médio Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,63,Médio Completo,Meudon,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,65,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,54,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,21,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Assistente Social 
Feminino,37,Médio Completo,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,26,Médio Completo,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,43,Fundamental Incompleto,Bom Retiro ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,55,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,42,Superior Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Masculino,44,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,62,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Cadastro Único
Feminino,12,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Psicólogo
Feminino,56,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Psicólogo
Feminino,50,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Cadastro Único
Feminino,68,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Masculino,57,Fundamental Incompleto,Vale da Revolta ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,23,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,57,Fundamental Incompleto,Vale da Revolta ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,47,Médio Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,44,Fundamental Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Assistente Social 
Feminino,55,Fundamental Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Cadastro Único
Feminino,17,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Psicólogo
Feminino,26,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Psicólogo
Masculino,46,Fundamental Incompleto,Agriões,1,CREAS ,CRAS Meudon,Público geral,Assistente Social 
Feminino,65,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,43,Fundamental Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Cadastro Único
Feminino,20,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,66,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,69,Fundamental Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,24,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,46,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,54,Fundamental Incompleto,Bom Retiro ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,30,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,26,Médio Completo,Coreia ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,45,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,33,Fundamental Incompleto,Coreia ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,44,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,45,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,23,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,PAIF ,Assistente Social 
Feminino,35,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Assistente Social 
Feminino,43,Fundamental Incompleto,Meudon,1,CRAS Alto ,CRAS Meudon,Público geral,Cadastro Único
Feminino,40,Fundamental Incompleto,Coreia ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,56,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,53,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,56,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,41,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,36,Fundamental Incompleto,jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,30,Médio Completo,Bom Retiro ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,26,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,23,Fundamental Completo,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,35,Fundamental Completo,jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,36,Fundamental Completo,jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,49,Médio Completo,Bom Retiro ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,63,Fundamental Incompleto,jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,69,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Coordenação
Feminino,70,Fundamental Completo,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,32,Fundamental Incompleto,jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Assistente Social 
Feminino,50,Superior Completo,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,40,Médio Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,57,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,46,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,28,Fundamental Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,66,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Masculino,60,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Psicólogo
Feminino,32,Médio Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Assistente Social 
Feminino,56,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,32,Fundamental Incompleto,Coreia ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,23,Fundamental Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,44,Fundamental Completo,Coreia ,1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,56,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,56,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,42,Médio Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,56,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,42,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,56,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,70,Médio Completo,Bom Retiro ,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,56,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,32,Médio Incompleto,Coreia ,1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,45,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,44,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,56,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,56,Fundamental Incompleto,Meudon,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,59,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
Feminino,44,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Atendimento Geral 
